Code,Borough,Total_Households,No_Car_Households,One_Car_Households,Two_Car_Households,Total_Cars,Car_Ownership_Rate,IDACI_Score,IDACI_High_Poverty_Area,IDAOPI_Score,IDAOPI_High_Poverty_Area,2019-20 Mean income,2019-20 Median,2020-21 Mean,2020-21 Median,2021-22 Mean,2021-22 Median,Job Density 2019,Job Density 2021,Job Density 2022,Income_Deprivation_Score,Income_High_Poverty_Area,Employment_Deprivation_Score,Employment_High_Poverty_Area,IMD_Score,IMD_Rank,GLA Population estimate/ projection,Inland Area (Hectares),Total Area (Hectares),Population per hectare,Square Kilometres,Population per square kilometre,Census population,Trafficflow2019,Trafficflow2020,Trafficflow2021,Trafficflow2022,Trafficflow2023,Totalaccidents,Fatal,Serious,Slight,Pedestrians,Pedal Cyclists,Powered two-wheelers,Car Occupants,Other,Trips per day,Rail,Underground/DLR,Bus/Tram,Taxi/Other,Car/Motorcycle,Cycle,Walk,All modes,Average home to work travel time (minutes)
E09000001,City of London,4338,2691,1417,184,1941,37.96680497925311,0.071,0,0.083,0,128000,54200,142000,56700,167000,62200,102.32,98.74,102.98,0.1,0,0.1,0,11.514,22758.4,8526,290,315,29.4,2.9,2936,7400,150,117,128,121,120,380,1,40,339,113,127,57,33,50,250,19,26,8,3,7,2,35,100,5
E09000002,Barking and Dagenham,67273,25511,30279,9688,55516,62.078396979471705,0.238,0.055,0.261,0.164,29400,25700,30800,26800,31800,28000,0.5,0.51,0.53,0.2,0,0.1,0,34.09440366972477,7099.045871559633,229337,3611,3780,63.5,36.1,6351,185900,661,559,603,641,634,545,3,45,497,82,44,63,310,46,300,2,5,16,1,40,1,35,100,37
E09000003,Barnet,126944,33925,57039,28680,138587,73.27561759516007,0.126,0.005,0.163,0.066,51600,30700,54400,32200,59100,33500,0.66,0.7,0.66,0.1,0,0.1,0,16.488761904761905,18358.42857142857,420924,8675,8675,48.5,86.7,4852,356400,1822,1448,1618,1647,1666,1520,9,123,1388,241,82,173,913,111,770,1,5,12,1,49,1,31,100,35
E09000004,Bexley,89451,21217,41958,20986,101302,76.28086885557455,0.16,0.021,0.109,0.021,36000,28000,36400,28800,38000,29300,0.59,0.56,0.59,0.1,0,0.1,0,16.520068493150685,18952.027397260277,262798,6058,6429,43.4,60.6,4338,232000,1034,869,964,992,995,589,2,66,521,87,53,63,333,53,334,4,0,8,1,59,1,27,100,36
E09000005,Brent,99991,37287,42606,16207,87757,62.70964386794812,0.182,0.041,0.258,0.202,37800,26200,40400,27200,44100,30000,0.71,0.63,0.63,0.2,0.1,0.1,0,30.166149425287355,9332.21264367816,353130,4323,4323,81.7,43.2,8168,311200,1025,883,965,962,970,928,3,81,844,191,81,145,441,70,611,2,7,16,1,44,1,29,100,38
E09000006,Bromley,125866,28950,57751,31154,146603,76.99934851349848,0.131,0.066,0.101,0.025,48200,33700,49300,33800,54500,35800,0.64,0.6,0.66,0.1,0,0.1,0,14.962081218274111,20646.11675126904,347455,15013,15013,23.1,150.1,2314,309400,1469,1195,1368,1400,1409,816,3,87,726,124,88,104,445,55,728,6,0,8,0,56,1,29,100,40
E09000007,Camden,91603,50946,33084,6280,49961,44.38391755728525,0.193,0.098,0.232,0.241,96900,38200,107000,38900,119000,38900,2.11,2.73,2.82,0.1,0.1,0.1,0,24.95684210526316,12442.887218045113,263550,2179,2179,121,21.8,12095,220300,483,392,435,445,441,964,7,105,852,251,234,176,189,114,744,5,15,16,2,18,3,42,100,33
E09000008,Croydon,138999,41461,63286,27640,140446,70.17172785415721,0.185,0.064,0.156,0.073,37800,29400,38300,29100,40900,30400,0.58,0.55,0.59,0.1,0.1,0.1,0,22.549636363636363,14280.272727272728,416582,8650,8650,48.2,86.5,4816,363400,1358,1136,1286,1319,1335,"1,122",5,82,"1,035",211,71,135,599,106,665,6,0,17,0,51,1,25,100,39
E09000009,Ealing,118023,37372,54259,21761,112907,68.33498555366326,0.166,0.036,0.223,0.158,42700,28200,44100,29500,46800,30900,0.71,0.63,0.64,0.1,0.1,0.1,0,24.90292307692308,12522.22564102564,393434,5554,5554,70.8,55.5,7083,338400,1370,1162,1257,1293,1265,1053,4,81,968,211,100,151,498,93,621,2,8,16,0,47,2,26,100,39
E09000010,Enfield,110398,31496,50201,22814,115205,71.470497653943,0.225,0.071,0.21,0.175,39500,28300,40700,29500,42800,29900,0.63,0.58,0.61,0.2,0.1,0.1,0,25.97883977900553,12519.972375690608,355209,8083,8220,43.9,80.8,4394,312500,1789,1442,1603,1764,1794,"1,075",7,91,977,170,55,85,644,121,564,3,3,15,1,52,0,26,100,43
E09000011,Greenwich,92788,37883,40160,12260,72889,59.17252230891925,0.212,0.066,0.234,0.272,44700,30100,46400,30600,48900,31800,0.55,0.51,0.53,0.2,0.1,0.1,0,32.20958041958042,8712.02097902098,306500,4733,5044,64.8,47.3,6475,254600,1204,1029,1145,1179,1196,852,5,99,748,147,72,124,399,110,384,5,3,14,1,47,1,29,100,40
E09000012,Hackney,86042,48219,31876,5018,45068,43.95876432439971,0.249,0.236,0.407,0.771,47200,32400,49400,32800,52500,34300,0.77,0.92,0.96,0.2,0.2,0.1,0,43.02211678832116,4231.591240875912,297569,1905,1905,156.2,19,15621,246300,461,390,437,432,438,898,5,98,795,172,197,128,309,92,377,4,5,26,2,20,5,40,100,36
E09000013,Hammersmith and Fulham,75438,36630,30461,7032,48868,51.44356955380578,0.186,0.097,0.256,0.212,75900,35800,77800,36200,83600,37000,1.22,1.12,1.18,0.1,0.1,0.1,0,27.254864864864864,10772.513513513511,211895,1640,1715,129.2,16.4,12922,182500,528,411,465,488,482,690,2,72,616,126,167,174,172,51,477,2,13,16,1,25,4,38,100,34
E09000014,Haringey,92170,42820,38005,9622,62949,53.54236736465228,0.208,0.11,0.299,0.441,48600,28300,50200,30000,57100,31300,0.48,0.49,0.57,0.2,0.1,0.1,0,35.945347222222225,7328.5,296572,2960,2960,100.2,29.6,10020,254900,558,454,508,511,512,984,1,78,905,212,96,127,447,102,447,2,9,20,1,33,2,34,100,40
E09000015,Harrow,79112,17972,34900,20789,94385,77.28283951865708,0.123,0,0.173,0.066,41500,29500,42800,30200,46500,32300,0.57,0.5,0.54,0.1,0,0.1,0,15.454817518248175,19022.729927007294,268448,5046,5046,53.2,50.5,5320,239100,662,520,604,626,634,551,2,37,512,104,30,41,349,27,424,1,6,10,1,52,1,30,100,37
E09000016,Havering,91722,21374,42078,22131,106653,76.6969756437932,0.16,0.033,0.117,0.02,38100,29800,38000,29000,40000,29800,0.61,0.64,0.67,0.1,0,0.1,0,16.519194630872484,18715.624161073825,281728,11235,11446,25.1,112.3,2508,237200,1830,1565,1707,1777,1797,793,5,58,730,99,34,66,528,66,485,4,2,13,1,58,1,21,100,37
E09000017,Hillingdon,96643,20972,43116,25690,117298,78.29951470877351,0.157,0.012,0.145,0.037,37300,28100,38200,28400,41600,30600,1.04,1.02,1.09,0.1,0,0.1,0,19.58042944785276,15977.411042944785,327456,11570,11570,28.3,115.7,2830,273900,2499,1990,2233,2304,2311,1080,8,75,997,122,80,93,726,59,592,1,4,12,2,54,2,25,100,32
E09000018,Hounslow,83994,24049,38920,16868,86270,71.36819296616426,0.17,0.049,0.197,0.085,41700,27500,43000,28500,45400,29300,1.04,0.89,0.92,0.1,0,0.1,0,21.918920863309356,13796.172661870503,293167,5598,5659,52.4,56,5237,254000,1760,1319,1494,1612,1636,975,7,90,878,119,110,137,547,62,509,2,4,15,1,47,3,28,100,32
E09000019,Islington,82281,47413,29194,4795,41746,42.37673338923932,0.275,0.293,0.336,0.496,66100,36400,70100,35600,76600,38200,1.44,1.64,1.7,0.2,0.1,0.1,0.1,35.85237288135593,6590.508474576272,247841,1486,1486,166.8,14.9,16682,206100,390,316,351,363,363,833,2,79,752,189,232,169,163,80,489,5,11,21,1,17,3,41,100,32
E09000020,Kensington and Chelsea,79146,39870,31041,6633,49776,49.62474414373437,0.129,0.107,0.199,0.233,185000,42100,198000,43300,208000,43900,1.54,1.54,1.56,0.1,0.2,0.1,0.1,23.38922330097088,14003,164020,1212,1238,135.3,12.1,13529,158700,527,425,467,489,493,792,3,77,712,171,187,220,152,62,518,1,13,14,3,21,3,44,100,28
E09000021,Kingston upon Thames,61426,14621,29049,14336,69010,76.19737570409923,0.1,0,0.117,0.02,50500,33500,54000,34700,56500,35900,0.78,0.8,0.84,0.1,0,0.1,0,11.52,22811.329896907217,189276,3726,3726,50.8,37.3,5080,160100,1010,813,936,948,956,427,1,45,381,57,61,58,224,27,394,6,0,11,1,47,2,32,100,35
E09000022,Lambeth,118447,60338,46080,10166,72594,49.05907283426343,0.229,0.124,0.302,0.388,49100,31900,51900,32800,56100,34500,0.76,0.73,0.8,0.1999999999999999,0,0.0999999999999999,0,31.153898305084745,8403.135593220339,346100,2681,2725,129.1,26.8,12909,303100,762,626,706,732,738,"1,293",2,154,"1,137",253,273,262,338,167,546,6,10,21,1,29,3,30,100,38
E09000023,Lewisham,107412,45941,46679,12484,79270,57.22917364912672,0.229,0.112,0.24,0.195,41100,30100,42600,30900,44800,32000,0.4,0.42,0.45,0.2,0.1,0.1,0,31.11590361445783,8429.789156626506,327730,3515,3532,93.2,35.1,9324,275900,770,633,714,712,716,938,3,105,830,178,123,143,400,94,448,9,2,19,1,37,2,30,100,46
E09000024,Merton,78884,23775,38143,13803,76103,69.86080827544242,0.134,0.024,0.151,0.024,55300,30300,58500,32600,63000,33900,0.73,0.64,0.62,0.1,0,0.1,0,14.455564516129032,20383.58870967742,220418,3762,3762,58.6,37.6,5858,199700,677,545,617,636,644,458,2,37,419,88,64,76,204,26,424,5,5,11,1,45,2,31,100,41
E09000025,Newham,91821,44866,37811,7789,57855,51.13753934285186,0.201,0.037,0.373,0.64,31700,24600,34300,26600,36100,28300,0.53,0.58,0.63,0.2,0,0.1,0,42.2103144654088,4302.553459119496,374424,3620,3857,103.4,36.2,10344,308000,944,805,837,877,892,911,5,76,830,216,90,86,456,63,539,2,9,16,1,33,1,39,100,34
E09000026,Redbridge,92288,24198,43047,20140,99404,73.77990638002774,0.137,0,0.195,0.05,38500,28900,40300,30400,42700,31200,0.49,0.46,0.47,0.1,0,0.1,0,20.03314465408805,15254.220125786163,326070,5642,5644,57.8,56.4,5779,279000,1210,1034,1113,1181,1149,938,3,73,862,156,42,76,583,81,538,1,5,11,0,51,1,29,100,37
E09000027,Richmond upon Thames,76146,18047,37723,16871,82946,76.29947731988548,0.07,0,0.094,0,77400,38900,77900,39500,90400,44000,0.82,0.78,0.81,0.1,0,0.1,0,10.090350877192982,24381,208321,5741,5876,36.3,57.4,3629,187000,877,701,785,806,817,475,1,71,403,79,110,97,165,24,453,6,2,11,1,44,5,31,100,40
E09000028,Southwark,105806,54940,40947,8454,62773,48.07477836795645,0.241,0.157,0.312,0.5,53400,33500,55300,33900,57800,34400,1.38,1.32,1.47,0.2,0.1,0.1,0,29.973757575757578,9227.078787878789,339444,2886,2991,117.6,28.9,11761,288300,718,596,672,687,692,"1,149",8,157,984,206,265,229,336,113,513,7,8,22,1,29,3,30,100,36
E09000029,Sutton,76402,17790,35264,18470,88361,76.71526923378968,0.126,0.033,0.114,0.017,40200,30200,41400,31400,45200,33300,0.64,0.71,0.79,0.1,0,0.1,0,15.273719008264464,19710.90909090909,218218,4385,4385,49.8,43.8,4977,190100,731,615,693,734,735,481,2,47,432,68,40,70,261,42,359,5,0,11,0,54,1,28,100,37
E09000030,Tower Hamlets,78530,44582,28997,4250,39839,43.229339106074114,0.266,0.097,0.439,0.694,50100,32700,52700,34100,55500,35500,1.43,1.31,1.35,0.2,0.2,0.1,0,40.159615384615385,5785.084615384615,348363,1978,2158,176.1,19.8,17611,254100,876,737,804,822,826,970,6,85,879,181,177,158,387,67,525,3,16,16,1,21,2,41,100,30
E09000031,Waltham Forest,89788,34975,39562,12512,73529,61.04713324720452,0.192,0.056,0.228,0.174,34900,27700,37100,28900,40100,30900,0.49,0.43,0.49,0.2,0.1,0.1,0,35.3468275862069,6888.558620689655,299105,3881,3881,77.1,38.8,7707,258200,835,715,769,776,790,786,2,65,719,129,76,76,448,57,395,2,7,13,1,41,1,34,100,36
E09000032,Wandsworth,115653,47066,51440,14437,89201,59.304125271285656,0.154,0.084,0.21,0.117,72400,38900,75300,39000,79700,40200,0.64,0.62,0.63,0.1,0,0.1,0,21.503390804597704,14336.66091954023,353279,3426,3522,103.1,34.3,10310,307000,803,658,722,731,728,"1,024",3,99,922,188,238,244,292,62,575,7,6,16,1,36,3,30,100,41
E09000033,Westminster,91172,51452,32108,6241,49316,43.56600710744527,0.183,0.109,0.226,0.219,118000,39900,123000,42100,133000,41200,4.35,5.26,5.45,0.1,0.1,0.1,0.1,24.878658148919648,13374.236567932887,269593,2149,2203,125.5,21.5,12547,219400,825,641,693,716,722,1599,4,182,1413,450,308,331,282,228,1186,7,20,15,3,13,2,39,100,29
